id,Unitywater Infrastructure,Address
1,Northern Service Centre,"Service st,MAROOCHYDORE"
2,STP - Maroochydore,"Maroochydore STP,MAROOCHYDORE"
3,STP - Kawana,"Kawana STP,WARANA"
4,STP - Nambour,"Nambour STP,NAMBOUR"
5,STP - Burpengary East,"Burpengary East STP,BURPENGARY"
6,STP - Coolum,"Coolum STP,MOUNT COOLUM"
7,STP - Cooroy,"Cooroy STP,COOROY"
8,STP - Landsborough,"Landsborough STP,LANDSBOROUGH"
9,STP - Brendale,"Brendale STP,BRENDALE"
10,STP - Redcliffe,"Redcliffe STP,CLONTARF"
11,STP - Bli Bli Suncoast,"Bli Bli Suncoast STP,MARCOOLA"
12,STP - South Caboolture,"Weier Rd STP,MORAYFIELD"
13,STP - Woodford,"Woodford STP,WOODFORD"
14,STP - Bribie Island,"Bribie Island STP,WOORIM"
15,STP - South Caboolture,"South Caboolture STP (Morayfield STP),MORAYFIELD"
16,STP - Maleny,"Maleny STP,MALENY"
17,STP - Kenilworth,"Kenilworth STP,KENILWORTH"
18,STP - Burpengary East,"Burpengary East STP,BURPENGARY EAST"
19,Southern Service Centre,"Market dr,CABOOLTURE SOUTH"
20,Southern Service Centre,"Market dr,MORAYFIELD"
21,Southern Service Centre,"600 Market dr,MORAYFIELD"
22,Northern Corporate Centre,"12 Maud st,MAROOCHYDORE"
23,Northern Corporate Centre,"14 Maud st,MAROOCHYDORE"
24,Northern Corporate Centre,"33 Maud st,MAROOCHYDORE"
25,Northern Corporate Centre,"37 Maud st,MAROOCHYDORE"
26,Northern Corporate Centre,"4 Maud st,MAROOCHYDORE"
27,Northern Corporate Centre,"5-7 Maud st,MAROOCHYDORE"
28,Northern Corporate Centre,"6 Maud st,MAROOCHYDORE"
29,Northern Corporate Centre,"8-10 Maud st,MAROOCHYDORE"
30,Northern Corporate Centre,"9 Maud st,MAROOCHYDORE"
31,Northern Corporate Centre,"Maud st,MAROOCHYDORE"
